_1,_2,_3,_4
1999,2,4,197.0
1999,2,6,84.0
2013,1,7,184.0
2008,8,6,219.0
2007,3,4,264.0
2016,2,7,98.0
2007,2,7,135.0
2008,1,2,212.0
2013,1,1,133.0
2010,10,6,150.0
1999,10,1,73.0
2001,9,6,96.0
1998,6,3,180.0
2011,1,7,128.0
2018,1,6,184.0
2018,10,2,259.0
1997,8,2,164.0
2005,8,4,214.0
2012,12,6,116.0
1997,8,4,86.0
2012,6,6,133.0
2018,10,6,139.0
2018,7,2,382.0
2008,10,4,97.0
2017,8,2,139.0
2001,4,7,103.0
1998,11,1,162.0
2011,4,1,223.0
2012,10,1,188.0
2005,10,6,69.0
2015,3,7,226.0
2011,2,6,154.0
2020,3,4,109.0
2006,5,3,257.0
2019,6,7,561.0
2013,5,4,247.0
2000,12,5,282.0
2017,8,4,280.0
2000,2,2,164.0
2015,8,2,268.0
2010,9,6,102.0
2015,4,2,112.0
2013,11,1,61.0
2003,2,2,136.0
2011,5,4,239.0
1997,12,3,171.0
2012,7,5,254.0
2016,8,1,224.0
2014,5,1,291.0
2009,12,2,206.0
2015,1,4,168.0
2000,6,6,171.0
2018,1,3,232.0
2012,2,4,91.0
2018,7,1,444.0
2008,9,3,50.0
2013,4,6,96.0
1999,2,5,118.0
2020,2,4,258.0
2008,1,7,209.0
2011,2,3,156.0
2017,5,3,257.0
2002,3,2,163.0
2020,3,6,108.0
2008,10,7,101.0
2012,8,7,151.0
2013,6,1,252.0
2008,11,7,214.0
2008,2,1,341.0
2009,1,1,182.0
2001,12,6,81.0
2008,5,1,89.0
2015,9,3,85.0
2008,11,4,82.0
2003,6,4,268.0
2012,4,1,123.0
1998,8,4,85.0
2011,6,5,241.0
2013,7,4,197.0
2019,5,5,237.0
2003,9,6,61.0
1996,8,7,83.0
2000,9,3,50.0
1997,12,7,185.0
2008,7,1,120.0
2018,10,3,148.0
1996,4,7,60.0
1999,6,6,219.0
2002,6,1,192.0
2006,5,1,227.0
2009,10,3,106.0
2003,9,4,285.0
2006,5,6,96.0
2012,11,3,98.0
2002,1,1,64.0
1996,7,7,182.0
2006,5,2,157.0
2015,1,7,147.0
2001,8,2,199.0
2010,10,4,59.0
2006,2,2,100.0
2016,1,6,114.0
1998,8,3,89.0
2000,8,6,119.0
2006,9,7,204.0
2005,6,4,280.0
1996,3,1,125.0
2019,11,7,78.0
1998,7,6,59.0
2015,4,5,323.0
2013,1,6,139.0
1998,4,5,187.0
2015,4,7,171.0
2018,6,3,168.0
2012,3,4,201.0
2000,7,1,180.0
2006,9,2,94.0
2004,5,6,195.0
2016,6,5,193.0
2003,12,7,126.0
2012,1,4,125.0
2012,3,1,173.0
2014,12,2,267.0
1996,7,3,238.0
2013,4,1,150.0
2008,9,1,109.0
2016,7,1,354.0
2006,3,1,168.0
2011,6,1,147.0
2004,2,7,124.0
2006,9,1,226.0
2010,5,7,163.0
2003,3,2,97.0
2012,5,3,238.0
2008,4,7,88.0
2017,11,2,40.0
2019,8,2,227.0
2004,1,1,146.0
1999,10,6,77.0
2015,9,5,89.0
2002,10,5,53.0
1999,12,7,73.0
2000,4,6,145.0
2018,3,6,108.0
1997,2,4,142.0
2010,5,6,133.0
2013,5,3,393.0
1997,7,1,119.0
2003,7,5,131.0
2009,2,2,135.0
2014,9,5,208.0
2003,3,7,97.0
2006,7,5,269.0
1998,6,6,226.0
2020,4,3,42.0
2008,12,2,498.0
2004,8,7,173.0
2000,11,4,119.0
2010,8,1,145.0
2016,1,4,93.0
2012,4,5,111.0
2017,4,1,210.0
2006,8,2,231.0
2007,10,7,135.0
1996,6,4,152.0
2000,1,3,134.0
2002,4,4,95.0
2002,12,5,67.0
2015,12,6,236.0
1996,10,2,156.0
1999,5,5,72.0
2006,5,7,132.0
2016,1,5,220.0
2001,11,2,40.0
2005,1,2,318.0
2011,4,2,313.0
2010,10,1,159.0
2010,12,6,117.0
2005,5,1,87.0
2012,7,7,238.0
1999,2,7,81.0
2012,3,7,120.0
1996,1,3,408.0
1998,3,7,251.0
1996,4,4,60.0
2005,2,6,120.0
2011,7,6,139.0
2014,1,4,285.0
2000,8,7,210.0
2003,4,1,79.0
2000,6,2,217.0
2002,10,7,46.0
1999,11,6,101.0
2015,2,4,117.0
1999,2,2,118.0
2007,8,7,170.0
2019,2,5,207.0
2007,4,1,164.0
2009,9,4,119.0
2005,10,5,112.0
2010,2,1,181.0
2013,4,7,97.0
2015,1,6,136.0
1999,9,1,97.0
2019,4,5,231.0
2008,11,5,104.0
2014,10,2,84.0
2001,10,3,131.0
2000,8,1,159.0
2006,11,3,219.0
1999,8,5,184.0
2010,1,1,185.0
2013,8,6,157.0
2013,8,5,279.0
1999,3,3,138.0
2009,7,2,184.0
2004,10,4,181.0
2005,3,5,116.0
2008,11,1,148.0
2013,12,4,214.0
1997,3,5,145.0
2005,10,4,78.0
2016,4,3,75.0
1996,1,4,382.0
2017,5,4,145.0
2011,7,3,183.0
2016,2,6,78.0
2014,11,7,161.0
2000,5,6,110.0
2017,11,1,69.0
2002,5,3,105.0
2003,12,5,217.0
2011,3,6,155.0
2019,3,1,103.0
2000,8,3,225.0
2005,4,7,57.0
1998,10,6,84.0
2004,5,1,217.0
2014,1,6,166.0
2002,11,4,108.0
2007,8,5,484.0
2009,3,1,197.0
2004,4,4,66.0
2012,11,6,63.0
2007,8,4,582.0
2014,4,7,171.0
2018,3,3,163.0
1996,12,6,228.0
2014,1,3,197.0
2019,2,4,245.0
2008,4,6,99.0
2005,10,3,92.0
2001,1,2,143.0
2013,1,4,178.0
2006,4,5,127.0
2009,5,4,164.0
2012,10,5,97.0
2010,1,2,115.0
2012,2,1,79.0
1999,10,2,56.0
1997,2,7,122.0
2009,6,4,338.0
2012,3,3,95.0
2004,8,5,180.0
2018,2,7,244.0
2007,12,1,191.0
2017,11,4,76.0
1998,7,3,202.0
2001,2,6,153.0
2007,9,6,74.0
2012,8,2,134.0
2000,4,3,82.0
2002,8,3,70.0
2019,12,7,309.0
2020,7,4,146.0
2019,3,2,72.0
2007,10,2,159.0
2008,9,6,85.0
1996,11,4,120.0
2000,9,6,93.0
2005,2,1,180.0
2007,3,5,341.0
2010,8,3,182.0
2000,3,2,184.0
2020,3,5,98.0
2002,10,6,32.0
2005,11,5,60.0
1998,5,1,97.0
2007,11,1,199.0
2014,5,6,103.0
2000,11,7,190.0
2008,1,6,196.0
1997,5,4,116.0
1999,6,1,170.0
1999,8,1,105.0
2000,3,4,172.0
2018,9,6,114.0
2013,12,7,231.0
2018,8,4,275.0
1998,10,1,221.0
2004,9,6,111.0
2012,4,7,230.0
2019,3,3,123.0
2020,3,3,161.0
2000,1,5,100.0
1996,4,3,48.0
2015,1,1,156.0
2016,7,7,255.0
1998,6,5,372.0
2002,6,3,151.0
2008,9,7,208.0
2020,3,7,116.0
2011,12,1,137.0
2011,3,1,149.0
2015,4,1,222.0
2019,5,2,252.0
2002,7,6,111.0
2020,1,2,143.0
1996,5,5,128.0
2000,1,4,250.0
2009,7,6,94.0
2013,10,3,89.0
2015,2,5,95.0
2020,6,3,26.0
1999,4,6,194.0
2019,1,5,148.0
1999,8,4,230.0
2013,9,5,105.0
1998,12,1,230.0
2010,1,4,376.0
2004,11,6,83.0
2006,3,6,97.0
2008,1,4,214.0
2006,5,4,199.0
2000,10,6,46.0
2014,3,2,99.0
1997,1,7,197.0
2016,6,6,143.0
1999,9,2,122.0
2004,6,7,280.0
2013,9,1,153.0
2018,9,4,215.0
2012,12,2,157.0
2013,10,6,164.0
2015,6,4,264.0
2011,10,2,85.0
2013,6,6,174.0
2001,10,2,66.0
2014,7,7,154.0
2005,8,6,139.0
2013,10,5,61.0
2016,11,6,68.0
1998,10,7,134.0
1998,12,2,263.0
2006,3,2,78.0
2010,11,2,205.0
2011,2,2,129.0
2017,9,3,97.0
2009,4,3,129.0
1996,3,2,165.0
2010,4,3,106.0
1999,11,2,161.0
2002,1,6,35.0
2015,8,3,142.0
2002,12,6,73.0
2012,3,5,190.0
2017,10,6,142.0
1999,10,5,99.0
2003,4,2,108.0
2003,6,2,103.0
2001,3,6,84.0
2000,3,6,127.0
2017,5,2,126.0
2014,6,1,389.0
2002,4,6,58.0
2000,12,7,265.0
2001,10,1,87.0
1997,4,3,131.0
1998,11,3,46.0
2014,6,3,321.0
2016,1,3,92.0
2012,6,1,164.0
1997,12,6,138.0
1999,10,4,56.0
2019,9,2,223.0
2004,6,5,271.0
2013,12,2,161.0
2013,12,5,109.0
1997,2,1,62.0
2004,6,2,328.0
2016,5,4,210.0
2007,3,2,114.0
2018,2,1,168.0
2005,5,7,179.0
2002,11,6,73.0
