2013,4,82.81,78.83,80.8
2013,5,84.84,82.78,83.79
2013,6,86.98,86.71,86.84
2013,7,86.46,86.27,86.36
2013,8,85.53,87.3,86.45
2013,9,80.85,82.72,81.83
2013,10,82.71,80.65,81.66
2013,11,80.07,77.76,78.92
2013,12,85.07,82.42,83.74
2014,1,80.64,80.57,80.6
2014,2,82.09,75.39,78.66
2014,3,85.44,78.88,82.14
2014,4,84.89,80.09,82.41
2014,5,86.27,82.99,84.55
2014,6,87.39,84.89,86.07
2014,7,87.79,84.18,85.88
2014,8,86.9,86.21,86.53
2014,9,82.06,80.99,81.49
2014,10,84.08,78.98,81.41
2014,11,81.35,76.03,78.64
2014,12,83.45,80.16,81.76
2015,1,79.18,79.11,79.14
2015,2,82.4,75.04,78.56
2015,3,85.75,79.25,82.44
2015,4,84.86,77.26,80.89
2015,5,85.56,81.21,83.26
2015,6,87.35,83.94,85.55
2015,7,88.13,84.88,86.39
2015,8,86.63,85.89,86.23
2015,9,83.76,80.59,82.04
2015,10,86.43,79.86,82.96
2015,11,84.18,77.48,80.75
2015,12,83.98,79.59,81.69
2016,1,80.55,79.61,80.05
2016,2,80.83,73.28,76.89
2016,3,85.28,78.56,81.83
2016,4,84.06,77.19,80.44
2016,5,85.84,80.37,82.92
2016,6,87.6,84.19,85.79
2016,7,87.16,85.85,86.46
2016,8,84.71,84.99,84.86
2016,9,84.23,80.61,82.25
2016,10,85.39,79.16,82.06
2016,11,84.71,78.69,81.61
2016,12,83.42,80.81,82.04
2017,1,79.46,79.82,79.65
2017,2,80.9,73.75,77.13
2017,3,85.5,77.09,81.14
2017,4,85.19,79.78,82.28
2017,5,85.71,80.05,82.66
2017,6,87.16,84.38,85.67
2017,7,86.93,85.54,86.17
2017,8,85.37,85.67,85.53
2017,9,82.17,80.35,81.16
2017,10,85.65,78.92,82.05
2017,11,85.77,79.07,82.31
2017,12,83.5,80.07,81.69
2018,1,78.86,79.15,79.01
2018,2,81.76,75.84,78.65
2018,3,86.08,82.06,83.99
2018,4,84.33,79.58,81.8
2018,5,85.35,81.17,83.1
2018,6,87.74,86.02,86.81
2018,7,88.11,86.75,87.38
2018,8,86.19,86.16,86.17
2018,9,80.88,80.24,80.53
2018,10,84.68,79.87,82.11
2018,11,85.06,79.88,82.39
2018,12,82.76,80.59,81.62
2019,1,79.06,80.23,79.68
2019,2,81.84,76.04,78.8
2019,3,86.45,81.49,83.9
2019,4,85.64,80.06,82.66
2019,5,87.3,83.3,85.16
2019,6,89.29,87.58,88.37
2019,7,88.97,87.23,88.03
2019,8,86.26,86.64,86.46
2019,9,82.38,81.55,81.93
2019,10,84.53,81.15,82.76
2019,11,82.03,80.94,81.48
2019,12,85.73,83.16,84.42
2020,1,79.56,81.36,80.49
2020,2,80.77,74.31,77.6
2020,3,50.07,56.95,52.97
2020,4,13.12,28.43,16.87
2020,5,38.95,24.97,35.56
2020,6,56.16,36.03,51.49
2020,7,49.81,36.35,46.38
2020,8,49.08,36.01,45.29
2020,9,57.06,33.16,49.18
2020,10,60.48,34.5,51.87
2020,11,60.48,34.5,51.87
