_1,_2,_3,_4
2004,5,6,20732
2016,6,5,19614
2003,12,7,24803
2012,1,4,15862
2012,3,1,16851
2014,12,2,31081
1996,7,3,30523
2013,4,1,27505
2008,9,1,21083
2016,7,1,18244
2006,3,1,31059
2011,6,1,21535
2004,2,7,27657
2006,9,1,25863
2010,5,7,21955
2003,3,2,15554
2012,5,3,19830
2008,4,7,26607
2017,11,2,9470
2019,8,2,25668
2004,1,1,30565
1999,10,6,17372
2015,9,5,17081
2002,10,5,21907
1999,12,7,19336
2000,4,6,20645
2018,3,6,17669
1997,2,4,29033
2010,5,6,17697
2013,5,3,27101
1997,7,1,23732
2003,7,5,21806
2009,2,2,15325
2014,9,5,20468
2003,3,7,23191
2006,7,5,33447
1998,6,6,21175
2020,4,3,2575
2008,12,2,38312
2004,8,7,32678
2000,11,4,30110
2010,8,1,25169
2016,1,4,14281
2012,4,5,16959
2017,4,1,19528
2006,8,2,30277
2007,10,7,25537
1996,6,4,25611
2000,1,3,19566
2002,4,4,16913
2002,12,5,21870
2015,12,6,13955
1996,10,2,26478
1999,5,5,23627
2006,5,7,21674
2016,1,5,19617
2001,11,2,14546
2005,1,2,48448
2011,4,2,24151
2010,10,1,22342
2010,12,6,18662
2005,5,1,23096
2012,7,7,29505
1999,2,7,17566
2012,3,7,16223
1996,1,3,37941
1998,3,7,28116
1996,4,4,19011
2005,2,6,16822
2011,7,6,21001
2014,1,4,33310
2000,8,7,25604
2003,4,1,17018
2000,6,2,25600
2002,10,7,14659
1999,11,6,11711
2015,2,4,24592
1999,2,2,16938
2007,8,7,31927
2019,2,5,27197
2007,4,1,32148
2009,9,4,17778
2005,10,5,29139
2010,2,1,23156
2013,4,7,19183
2015,1,6,18564
1999,9,1,18591
2019,4,5,26616
2008,11,5,21159
2014,10,2,16906
2001,10,3,15937
2000,8,1,25117
2006,11,3,38802
1999,8,5,27546
2010,1,1,22750
2013,8,5,30015
2013,8,6,19899
1999,3,3,24118
2009,7,2,25105
2004,10,4,29311
2005,3,5,31118
2008,11,1,15729
2013,12,4,27156
1997,3,5,25507
2005,10,4,24985
2016,4,3,11332
1996,1,4,29866
2017,5,4,22167
2011,7,3,20975
2016,2,6,7267
2014,11,7,24215
2000,5,6,15523
2017,11,1,12264
2002,5,3,17571
2003,12,5,29941
2011,3,6,16869
2019,3,1,19652
2000,8,3,33066
2005,4,7,20960
1998,10,6,15898
2004,5,1,32594
2014,1,6,19017
2002,11,4,12275
2007,8,5,45265
2009,3,1,29057
2004,4,4,29157
2012,11,6,10379
2007,8,4,43286
2014,4,7,19930
2018,3,3,19026
1996,12,6,24875
2014,1,3,27070
2019,2,4,27757
2008,4,6,20385
2005,10,3,20302
2001,1,2,28734
2013,1,4,25274
2006,4,5,32899
2009,5,4,24475
2012,10,5,23375
2010,1,2,15849
2012,2,1,12957
1999,10,2,16534
1997,2,7,18918
2009,6,4,29803
2012,3,3,15210
2004,8,5,24292
2018,2,7,21349
2007,12,1,38294
2017,11,4,12993
1998,7,3,26041
2001,2,6,19522
2007,9,6,17856
2012,8,2,17618
2000,4,3,19733
2002,8,3,14144
2019,12,7,32790
2020,7,4,8555
2019,3,2,17628
2007,10,2,28927
2008,9,6,11348
1996,11,4,23157
2000,9,6,15904
2005,2,1,29944
2007,3,5,41405
2010,8,3,22042
2000,3,2,20828
2020,3,5,15807
2002,10,6,9807
2005,11,5,20105
1998,5,1,18205
2007,11,1,31355
2014,5,6,15025
2000,11,7,28101
2008,1,6,20909
1997,5,4,26503
1999,6,1,25879
1999,8,1,24457
2000,3,4,29906
2018,9,6,15822
2013,12,7,35037
2018,8,4,32647
1998,10,1,16992
2004,9,6,10957
2012,4,7,19932
2019,3,3,18202
2020,3,3,11642
2000,1,5,21772
1996,4,3,16323
2015,1,1,22128
2016,7,7,21537
1998,6,5,29863
2002,6,3,21118
2008,9,7,16915
2020,3,7,12545
2011,12,1,16096
2011,3,1,22632
2015,4,1,19419
2019,5,2,21580
2002,7,6,13786
2020,1,2,11723
1996,5,5,31197
2000,1,4,23262
2009,7,6,15348
2013,10,3,19564
2015,2,5,20252
2020,6,3,2669
1999,4,6,16664
2019,1,5,21328
1999,8,4,25518
2013,9,5,21054
1998,12,1,23852
2010,1,4,21628
2004,11,6,18443
2006,3,6,20123
2008,1,4,42270
2006,5,4,30435
2000,10,6,14864
2014,3,2,18229
1997,1,7,25466
2016,6,6,13605
1999,9,2,20254
2004,6,7,26269
2013,9,1,21204
2018,9,4,21370
2012,12,2,16508
2013,10,6,12065
2015,6,4,24019
2011,10,2,12424
2013,6,6,23657
2001,10,2,13710
2014,7,7,20289
2005,8,6,21829
2013,10,5,20525
2016,11,6,8838
1998,10,7,18897
1998,12,2,31427
2006,3,2,27444
2010,11,2,26073
2011,2,2,18173
2017,9,3,13384
2009,4,3,22369
1996,3,2,19918
2010,4,3,16172
1999,11,2,26793
2002,1,6,12508
2015,8,3,17413
2002,12,6,12350
2012,3,5,27300
2017,10,6,9510
1999,10,5,29533
2003,4,2,16198
2003,6,2,16268
2001,3,6,23239
2000,3,6,17539
2017,5,2,20397
2014,6,1,31047
2002,4,6,12650
2000,12,7,28496
2001,10,1,15287
1997,4,3,23935
1998,11,3,15827
2014,6,3,27325
2016,1,3,12929
2012,6,1,21782
1997,12,6,20023
1999,10,4,20550
2019,9,2,15367
2004,6,5,32848
2013,12,2,30277
2013,12,5,28114
1997,2,1,18999
2004,6,2,37343
2016,5,4,19555
2007,3,2,24058
2018,2,1,21403
2005,5,7,24808
2002,11,6,14044
2005,11,4,20271
1998,1,2,19623
2015,3,6,14073
2007,9,5,28144
2014,12,6,16866
1998,1,4,28264
2019,7,1,32171
2009,11,3,13068
2000,2,1,18492
2004,2,6,20257
1996,10,5,27947
2007,4,3,33900
2020,1,4,21621
2009,5,7,22329
2012,1,3,13805
2007,12,6,39001
2002,6,7,20347
2017,1,7,23266
2008,2,7,29260
1997,9,4,19531
2009,12,3,32587
2017,12,1,13781
2010,2,6,16373
2017,7,2,17736
2019,12,6,19665
2000,2,6,17630
2004,4,6,15324
2008,6,3,31575
2018,7,3,23204
2017,3,1,19191
2015,2,6,14060
2018,10,5,25215
2018,7,6,20366
1997,6,7,27548
1999,8,3,21521
2010,3,2,19935
2015,11,3,15544
2012,6,7,17945
2012,7,2,28177
2019,2,2,23229
2018,4,3,19840
2000,11,2,23422
1998,2,2,25353
2005,2,2,22813
2005,6,2,28580
2006,8,3,29085
2003,11,3,25991
1996,12,4,34726
2018,3,7,18092
2019,10,4,28898
2011,9,1,16466
2017,8,5,24232
2003,2,3,21146
2014,7,4,31455
1996,1,7,18947
1999,10,3,21148
2008,8,3,22340
2007,7,6,25782
2018,11,3,21569
2004,11,4,23761
2008,7,4,35587
2012,6,5,28567
2010,4,7,17364
2011,11,1,16480
