_1,_2,_3,_4
2004,1,16,19246
2005,12,17,16230
2013,7,24,18908
2016,12,27,15907
1996,5,19,13993
2007,2,19,20737
2008,4,7,20372
2009,9,2,17724
1997,8,16,13471
1999,10,31,14602
1999,6,30,15273
2011,11,9,16008
2002,2,6,13931
2003,3,5,18113
2004,12,12,18790
2013,9,15,17183
2014,10,1,16122
2015,7,9,17121
2005,1,3,39988
2006,10,7,16914
2006,6,6,19583
2007,11,10,17219
2008,7,21,20639
2019,12,17,19407
1996,8,5,14963
1997,5,4,14243
1999,3,30,15133
2011,12,11,15403
2002,1,26,12504
2013,6,9,17905
2019,6,25,21441
2000,11,8,15656
2008,5,18,19257
2009,8,15,16459
2019,5,28,20129
2003,2,28,18453
2005,4,21,20302
2005,8,26,20064
2017,5,5,16047
2017,9,18,16262
1996,1,8,10441
2006,11,26,20274
2008,8,10,19169
2009,1,14,16967
2019,3,11,21043
1998,3,14,13256
1999,2,11,13935
2010,6,5,15160
2012,12,12,16266
2000,4,3,15499
2000,8,12,14022
2002,10,2,14657
2003,7,24,18517
2014,2,5,13406
2015,3,4,14946
2007,7,1,20057
2018,1,12,36622
2019,4,13,16133
1997,1,11,12908
1998,6,14,14216
2000,7,17,15464
2001,10,17,14431
2014,1,19,14024
2009,12,24,14287
2011,6,17,17799
1997,10,20,14986
2001,12,22,12930
2012,1,30,16282
2014,11,16,15295
2004,5,17,19287
2004,9,10,20120
2006,7,19,20331
2016,4,1,15914
2016,8,10,16084
2018,2,8,19078
1997,4,13,14364
2007,6,16,18734
2009,5,29,18420
2010,10,4,18166
2020,4,10,7020
2020,8,1,11758
2001,1,6,14895
2011,3,3,17072
2012,8,31,17515
2002,6,13,15027
2003,11,15,15561
2017,2,11,11808
1996,4,8,14669
2006,2,13,18897
2007,3,12,20985
2009,10,31,13808
2018,9,24,20877
2020,7,22,10805
1998,10,17,12973
2010,1,20,16850
2012,11,29,16668
2013,10,10,18185
2015,4,20,16122
2015,8,21,16818
2018,3,25,19837
1996,10,31,14808
1998,12,16,14982
2007,8,15,21386
2010,11,21,17082
2010,7,20,18810
2018,4,28,16438
2003,6,9,18129
2013,4,23,17835
2004,1,22,19380
2005,12,11,17890
2016,12,29,15766
2018,10,20,16346
2019,7,6,17960
1996,5,25,12862
1998,7,27,14990
2008,4,9,19156
2009,9,8,17736
1999,6,24,15398
2001,5,21,17140
2001,9,2,14195
2011,11,15,15825
2012,4,2,17323
2013,1,1,15082
2004,12,22,19063
2005,5,2,20415
2015,7,15,16989
1996,12,28,13231
2006,10,1,19198
1999,3,20,13262
2004,10,21,20219
2016,5,16,16185
2002,1,28,14270
2008,1,19,15351
2019,6,19,21231
1999,5,28,15378
1999,9,19,14761
2007,4,28,17757
2010,3,17,17982
2011,2,14,16606
2002,7,28,14755
2003,10,2,18238
2005,8,28,19218
2007,2,21,20122
2017,5,3,15752
2017,9,8,14959
2018,6,7,21093
2019,11,5,19898
1996,1,14,13753
1997,8,10,14685
1999,10,1,15644
2009,1,4,17406
2011,7,14,17912
2002,2,24,13868
2012,12,6,16813
2013,9,5,18025
2014,10,11,12664
2015,11,14,12738
2000,4,5,15603
2000,8,6,14707
2005,1,25,38242
2019,12,23,20856
1996,8,15,14808
1997,5,10,13363
2007,7,7,18988
2003,1,26,16980
2005,11,24,14522
2013,6,23,18216
2000,11,18,13960
2000,7,27,15647
2008,5,24,16645
2009,8,9,18178
2019,10,12,17168
2011,10,18,16054
2011,6,27,18071
1997,10,26,13583
2000,1,23,14126
2001,12,8,12630
2002,3,9,12445
2003,2,6,18014
2014,11,30,17184
2006,11,16,19716
2006,7,9,19725
2008,8,20,19941
2018,2,2,19387
2019,3,1,20174
1997,4,7,15005
1998,3,4,14898
1999,2,13,12381
2009,5,27,18182
2001,1,12,16842
2002,10,4,14544
2003,7,22,17375
2012,8,1,18006
2015,3,2,15808
2000,12,1,15646
2009,3,31,17944
2017,2,17,15241
2019,4,19,19800
1997,1,17,14662
2020,7,16,12349
2012,11,23,12860
2014,1,29,12908
2017,4,22,13363
2008,9,5,18777
2009,12,2,17188
2015,4,18,13286
2010,7,18,18092
2012,1,20,15377
2003,6,3,17845
2004,5,15,17067
2015,2,23,15020
2016,8,4,16821
2007,6,10,20434
2018,10,30,18638
2020,4,4,7332
2020,8,27,12321
1998,7,1,14823
2010,2,10,13222
2011,3,9,16867
2001,5,19,15222
2001,9,24,14275
2003,11,21,18496
2013,1,15,15711
2014,6,10,16732
1998,9,30,14872
2006,2,23,19811
2007,3,10,17854
2018,9,18,19537
1996,12,22,14217
1998,10,27,14888
2001,3,23,17206
2004,10,19,19541
2004,6,24,20082
2016,5,22,15406
2016,9,21,15385
2018,3,31,16893
1996,10,21,14217
1998,12,30,14781
2007,1,25,20537
2008,1,9,19424
2009,4,14,17972
2010,11,11,18165
1999,5,22,13258
1999,9,21,15279
2007,4,26,20457
2011,2,8,15702
2012,9,16,16428
2013,4,17,17006
2002,7,26,15359
2004,1,28,18315
2005,12,5,18714
2016,12,7,15057
2017,1,2,15441
1996,5,7,14645
2009,9,14,17827
2018,6,1,20548
2019,11,11,20163
1997,8,12,15114
1998,11,14,12977
1999,10,11,15678
1999,6,2,15078
2011,11,5,13477
2012,4,12,17592
2002,2,18,14675
2004,12,16,20036
2013,9,3,17622
2015,11,20,16503
2015,7,5,16549
2005,1,23,31484
2007,11,30,20649
2010,8,20,18675
1996,8,17,13808
1999,3,18,15099
2002,8,30,15371
2005,11,18,19837
2005,7,27,19962
2013,6,29,16201
2019,6,21,21733
1996,6,16,14304
2000,11,28,15868
2008,5,30,20212
2009,8,3,19065
2010,3,23,17565
1999,1,17,13798
2001,4,6,16956
2011,10,28,17352
2013,12,21,15955
2000,1,29,12238
2005,4,25,20206
2005,8,6,18516
2017,5,9,16055
2017,9,14,15981
1996,1,4,14402
2006,11,14,19473
2007,10,11,20780
2008,8,30,15407
2019,3,7,20935
1998,3,2,14903
1999,2,7,13710
2002,10,14,14712
2008,2,26,19455
2014,2,25,15687
2007,7,13,21533
2009,3,25,18166
2011,5,31,17234
2019,4,25,21120
1997,1,31,14837
2003,1,20,18223
2014,4,24,16780
2000,7,29,13861
2017,4,24,16195
2017,8,19,13929
2019,10,6,20800
1997,7,19,13682
2009,12,4,17269
2011,6,29,17989
2001,12,2,13416
2002,3,15,14786
2012,1,10,15428
2014,11,4,15351
2000,5,10,13914
2004,5,5,19596
2004,9,6,18382
2006,7,15,18149
2018,2,4,15793
1997,4,1,14330
2007,6,4,20416
2009,5,17,17550
2020,4,30,5254
2020,8,29,11627
2011,3,15,17054
2012,8,11,15605
2013,5,6,18471
2000,12,11,13227
2003,11,27,13595
2020,2,29,17043
1998,9,24,14910
2006,2,17,19503
2018,9,20,20775
2020,7,26,12114
2001,3,17,15140
2003,5,23,17938
2006,4,16,18923
2006,8,25,20346
2008,9,3,18421
2018,3,21,16233
1996,10,19,12915
1998,12,4,14996
2010,11,1,18323
2010,7,8,18809
2003,6,5,17941
2012,9,22,13294
2013,4,11,17957
2014,3,8,14069
2015,2,9,14596
2004,1,2,18373
2016,12,9,15347
2017,1,8,13513
1996,5,13,14674
1997,12,5,14879
1998,7,7,14814
2009,9,20,16838
2010,2,12,16053
1999,6,12,13055
2001,5,25,17422
2001,9,30,13678
2012,4,22,16477
2014,6,12,16590
2004,12,26,18263
2015,7,27,17292
1996,12,16,14692
2007,11,20,20940
2010,4,27,17482
2012,2,21,16652
2002,8,20,15270
2004,10,25,20119
2004,6,30,19844
2016,5,12,16188
2016,9,19,15982
2005,7,21,20435
2007,1,19,20331
2008,1,7,19698
2018,11,17,16885
2019,6,15,18485
2020,9,12,10247
1998,4,8,14829
1999,5,16,14403
1999,9,15,14644
2010,3,29,18147
2011,2,2,11371
2001,4,8,16410
2001,8,3,17472
2013,12,31,13937
2005,4,3,18974
2005,8,8,20195
2007,2,1,19680
2017,9,4,15362
2018,6,11,21469
1996,1,26,14180
1997,8,6,15159
1998,11,20,15092
1999,10,13,14913
2002,2,20,14595
2013,9,25,17458
2015,11,18,15776
2016,6,23,16542
2000,4,17,15362
2000,8,26,14256
2008,2,16,16567
2010,8,18,18449
1996,8,27,14851
1999,8,26,14699
2007,7,19,20440
2011,5,17,16713
2011,9,26,17001
2013,3,24,17348
2002,4,19,14548
2003,1,14,17835
2004,2,13,19693
2005,11,20,18601
2013,6,27,18573
1996,6,22,13666
2008,5,4,19241
1997,7,29,15137
1999,1,27,14847
2011,10,6,17310
2011,6,7,17085
2000,1,27,14296
2001,12,4,14190
2002,3,5,14689
2003,2,10,17895
2008,11,29,16540
2013,8,8,18932
2014,11,2,15415
2015,10,7,16329
2015,6,6,14188
2006,11,4,16659
2006,7,5,19880
2007,10,13,17081
2008,8,24,19098
2019,3,29,21131
1996,9,6,14074
1997,4,27,14253
1999,2,25,14740
2002,10,16,14446
2012,8,13,17800
2013,5,12,17224
2014,2,19,16044
2017,7,30,16640
2019,9,20,20960
2000,12,13,13342
2008,6,15,19518
2009,3,19,18479
2020,2,27,21149
2014,4,22,16180
2003,5,25,15136
2005,3,16,20087
2016,1,5,14337
2017,4,2,15597
2017,8,29,15029
1996,2,5,14287
2006,8,31,20289
2008,9,9,17499
2009,12,14,16915
2019,2,4,19716
2010,7,6,18651
2000,9,15,15743
2002,11,1,14415
2004,5,3,19659
2014,3,6,16588
2015,2,3,14541
2018,10,10,20023
2020,4,24,5106
2020,8,23,12750
1997,12,15,14900
1998,7,13,15048
2003,12,28,17756
2011,3,21,17379
2001,9,20,14164
2006,1,30,18860
2014,6,22,16405
1998,9,18,14351
2006,2,27,19597
2009,7,22,19138
2001,3,27,17172
2012,2,19,15529
2014,8,21,16693
2004,10,7,20275
2004,6,20,19067
2006,4,30,18766
2016,5,2,15928
2016,9,9,15608
2017,12,14,15603
2018,3,11,19766
1996,10,9,14819
1997,3,8,13456
1998,12,2,14724
2007,1,21,18405
2009,4,26,17330
2010,11,7,17233
2020,5,9,4774
2020,9,2,10578
1999,5,10,14702
1999,9,1,15594
2012,9,28,17410
2013,4,5,18650
2002,7,14,14518
2004,1,8,18928
2017,1,14,11337
1996,5,11,13004
2006,3,14,19439
2007,2,11,19272
2009,9,26,13899
2018,6,21,21429
1998,11,18,14901
2012,4,16,17461
2013,9,23,17993
2015,11,24,16051
2015,7,17,17342
1996,11,24,13642
1998,1,22,14535
2007,11,18,19804
2010,4,17,15010
2010,8,24,18193
1996,8,29,14987
2001,11,15,14332
2001,7,14,15953
2002,8,18,14694
2003,9,4,17927
2013,3,18,18030
2004,2,11,19167
2005,11,14,19580
2005,7,15,20153
2018,11,23,15166
2019,6,1,17016
1996,6,28,15072
1998,4,6,14928
2007,9,17,20885
2008,5,10,16801
2010,3,3,17669
1999,1,29,14947
2001,4,18,17252
2001,8,13,16977
2012,5,1,16713
2013,12,25,13272
2014,7,3,16217
2000,1,1,10758
2005,4,13,20175
2008,11,23,17437
1996,1,16,14030
2006,11,2,20256
2007,10,7,19680
2019,3,19,20371
1999,2,19,15082
2004,11,18,20011
2016,10,26,15613
2016,6,29,16552
2000,8,20,15217
2002,10,26,12561
2008,2,22,18554
2017,11,25,15496
2019,9,30,21346
1999,8,16,15586
2007,7,25,21392
2009,3,13,18620
2011,5,11,16328
2011,9,20,15905
2002,4,25,14921
2003,1,8,17894
2014,4,12,13294
2015,9,11,15656
2005,3,26,17332
2017,4,4,15783
