origin,dest,passengers
12758,11292,309050.6112
11042,13502,341.3872
14831,12982,188226.7728
14696,11042,5124.228599999998
13487,14685,702.3125000000001
12266,13367,37.855
14689,13502,36.37
13487,12264,1180053.4573000008
12217,11193,217097.0878
12892,11278,555700.9809000003
13296,11057,583305.2347
14457,12280,188.73499999999999
10279,12191,1945.6416
13244,11823,38.035
14492,12264,1409343.5844999999
13487,11775,2842513.7751000007
10581,11433,122120.8323
10529,11193,2196605.9721000004
12451,13931,607435.7705000002
10469,12884,111328.39800000003
14698,13264,48.638999999999996
14908,14100,6426.826599999999
14100,10408,75.755
12266,11540,2436190.8312000018
11996,11433,651483.6682
13486,11292,830168.5039999998
14262,12892,937029.546700001
13342,10423,771.912
12206,14683,564006.9062000002
11259,15370,2582665.4871999994
12094,12954,3116.5919999999996
14570,13264,43.305
13290,10693,41.75
10627,13930,82233.49080000004
14057,14747,2344850.2750999983
12191,11278,470034.50079999975
11193,10577,67097.35639999999
14027,10792,3383.375000000001
13296,11193,504848.8973000001
14802,13930,23203.79999999999
11193,12244,41268.784799999994
14057,14252,64.695
13204,10529,3140530.9511000016
16440,12191,39816.64020000001
12819,12523,1248884.6395000012
12889,11193,2650975.8990000007
12892,11638,1500820.4195000017
14107,12982,678116.0214000001
10785,11278,4219.6923
13891,13476,26957.884799999996
14635,14100,2101360.491200002
15370,12889,514191.3940000002
10620,14747,3347.1300000000006
10620,11648,22769.815499999997
14771,11921,201.55
14492,15412,43.1358
10821,14986,224996.81599999996
14524,12953,574669.3085000003
10792,15304,740005.7058000003
13244,12951,37636.62
11638,14113,110.13
13204,11042,2637472.8737000003
10721,14576,125487.62339999998
13204,11057,4947414.272699996
14100,11259,101451.27600000014
15919,11278,8797.804499999997
14747,14570,1516040.9644999998
11109,14108,115.555
13184,10333,40.92
11697,14492,723102.8210000002
12266,15304,4493037.4024
11503,11292,619205.4873999999
14262,14869,587210.2025999998
13127,14869,427962.9849999998
14570,14908,74163.87520000001
11146,11193,153276.97820000004
12892,14489,115896.00000000001
11618,11996,592478.7782999999
11433,15070,77834.33999999997
13296,14107,139703.08560000005
14794,11921,20.58
11292,11884,2939537.486000001
14262,11298,1121640.7102000008
10643,11423,4598.9555999999975
11638,13502,37.855
